NAME,STREET,ZIPCODE,CITY,UAI
Lycée Tristan Bernard,13 rue Goya,25000,Besançon,0251079M
Lycée des Ménuts,36 RUE DES DOUVES,33800,Bordeaux,0330033G
Lycée Professionnel Vertes Feuilles,55 rue des peupliers,59871,Saint-André,0592832h
Lycée Professionnel César Baggio,Boulevard d'Alsace,59000,Lille,0590266u
Lycée Pierre Mendès France,1 RUE DE GOUSSAINVILLE,95400,Villiers Le Bel,0951090U
Lycée Arthur Rimbaud,99 AVENUE DE LA DIVISION LECLERC,95140,Garges-lès-Gonesse,0951787B
lycée E.HERE,86 boulevard Maréchal Foch,54520,Laxou,0542262R
Lycée Professionnel HENRI DUNANT,15 rue de Haarlem,49017,Angers,0490784L
Lycée TREGEY RIVE DE GARONNE,24 RUE TREGEY,33015,Bordeaux,0330142A
Lycée La Tourelle,8 RUE FERNAND LEGER,95200,Sarcelles,0950947N
Lycée LE HAINAUT,1 avenue villars,59300,Valenciennes,0590270y
Lycée LEONARD DE VINCI,24 RUE DU COLLÈGE TECHNIQUE,33294,Blanquefort,0330018R
Lycée EMILE COMBES,23 RUE EMILE COMBES,33321,Bègles,0331882S
Lycée Professionnel Aimé CÉSAIRE,115 rue Francisco FERRER,59007,Lille,0596957S
Lycée Gilbert Courtois,2 Rue Salvador Allende,28100,Dreux,0280925D
Lycée EMILE COMBES,23 RUE ÉMILE COMBES,33321,Bègles,0331882S
Lycée PHILADELPHE DE GERDE,3 Allée PHILADELPHIE DE GERDE,33602,Pessac,0332345V