Départements ,COMMUNE,Code UAI ,Collèges ,Label
Paris,PARIS 13,0752694W,CAMILLE CLAUDEL,REP
Paris,PARIS 11,0750465Y,LUCIE ET RAYMOND AUBRAC,
Paris,PARIS 10,0753047E,LA GRANGE AUX BELLES,
Paris,PARIS 13,0753937X,EVARISTE GALOIS,
Paris,PARIS 17,0752958H,BORIS VIAN,
Paris,PARIS 14,0752544H,FRANCOIS VILLON,
Paris,PARIS 18,0752195D,GERARD PHILIPE,
Paris,PARIS 18,0752252R,HECTOR BERLIOZ,
Paris,PARIS 18,0754706H,MARIE CURIE,
Paris,PARIS 18,0755030K,DANIEL MAYER,
Paris,PARIS 18,0755433Y,AIMÉ CÉSAIRE,
Paris,PARIS 19,0750484U,W.A. MOZART,
Paris,PARIS 19,0750575T,SONIA DELAUNAY,
Paris,PARIS 19,0751707Y,EDOUARD PAILLERON,
Paris,PARIS 19,0752606A,GEORGES MELIES,
Paris,PARIS 19,0752695X,GUILLAUME BUDE,
Paris,PARIS 19,0753345D,EDMOND MICHELET,
Paris,PARIS 19,0755095F,EDGAR VARESE,
Paris,PARIS 20,0750478M,JEAN-BAPTISTE CLEMENT,
Paris,PARIS 20,0750552T,FRANCOISE DOLTO,
Paris,PARIS 20,0752198G,PIERRE MENDES FRANCE,
Paris,PARIS 20,0753046D,FLORA TRISTAN,
Paris,PARIS 20,0753939Z,JEAN PERRIN,
Paris,PARIS 18,0752196E,MARX DORMOY,
Paris,PARIS 20,0754355B,ROBERT DOISNEAU,
Paris,PARIS 19,0755747P,SUZANNE LACORE,
Seine-Saint-denis,Aubervilliers,0931186J,COLLÈGE DIDEROT,
Seine-Saint-denis,Aubervilliers, 0931185H,COLLÈGE GABRIEL PÉRI,
Seine-Saint-denis,Aulnay-sous-Bois,0932310F,COLLÈGE CHRISTINE DE PISAN,
Seine-Saint-denis,Aulnay-sous-Bois,0930891N,COLLÈGE VICTOR HUGO,
Seine-Saint-denis,Bagnolet,0931181D,COLLÈGE GEORGES POLITZER,
Seine-Saint-denis,Bagnolet,0931220W,COLLÈGE TRAVAIL LANGEVIN,
Seine-Saint-denis,Bobigny,0931195U,COLLÈGE AUGUSTE DELAUNE,
Seine-Saint-denis,Bobigny,0930900Y,JEAN-PIERRE TIMBAUD,
Seine-Saint-denis,Bobigny,0931196V,PIERRE SÉMARD,
Seine-Saint-denis,Bondy,0931860S,BROSSOLETTE,
Seine-Saint-denis,Bondy,0931788N,HENRI SELLIER,
Seine-Saint-denis,Bondy,0931711E,JEAN RENOIR,
Seine-Saint-denis,Drancy,0931377S,JORISSEN,
Seine-Saint-denis,Drancy,0931202B,LIBERTÉ,
Seine-Saint-denis,Drancy,0931199Y,PAUL LANGEVIN,
Seine-Saint-denis,Drancy,0931200Z,PIERRE SEMARD,
Seine-Saint-denis,Épinay-sur-Seine,0931207G,EVARISTE GALOIS,
Seine-Saint-denis,Épinay-sur-Seine,0931145P,ROBESPIERRE,
Seine-Saint-denis, L'Île-Saint-Denis,0931765N, ALFRED SISLEY,
Seine-Saint-denis,Le Blanc-Mesnil,0931433C,DESCARTES,
Seine-Saint-denis,Le Blanc-Mesnil,0931204D,MARCEL CACHIN,
Seine-Saint-denis,Le Blanc-Mesnil,0930611J,NELSON MANDELA,
Seine-Saint-denis,Montfermeil,0931546A,JEAN JAURÈS,
Seine-Saint-denis,Montfermeil,0931707A,PABLO PICASSO,
Seine-Saint-denis,Montreuil,0931213N,COLONEL FABIEN,
Seine-Saint-denis,Montreuil,0931209J,GEORGES POLITZER,
Seine-Saint-denis,Montreuil,0931151W,JEAN MOULIN,
Seine-Saint-denis,Montreuil,0931211L,MARAIS DE VILLIERS,
Seine-Saint-denis,Montreuil, 0932579Y,CESARIA EVORA,
Seine-Saint-denis,Neuilly-sur-Marne,0931485J,GEORGES BRAQUE,
Seine-Saint-denis,Noisy-le-Grand,0931978V,VICTOR HUGO,
Seine-Saint-denis,Noisy-le-Sec,0931710D,OLYMPE DE GOUGES,
Seine-Saint-denis,Pantin,0931217T,IRÈNE ET FRÉDÉRIC JOLIOT CURIE,
Seine-Saint-denis,Pierrefitte-sur-Seine,0931223Z,GUSTAVE COURBET,
Seine-Saint-denis,Pierrefitte-sur-Seine, 0931224A,PABLO NERUDA,
Seine-Saint-denis,Romainville,0931222Y,PIERRE-ANDRÉ HOUËL,
Seine-Saint-denis,Romainville,0931381W,GUSTAVE COURBET,
Seine-Saint-denis,Saint-Denis,0931230G, ELSA TRIOLET,
Seine-Saint-denis,Saint-Denis,0931229F, FABIEN,
Seine-Saint-denis,Saint-Denis,0931232J,HENRI BARBUSSE,
Seine-Saint-denis,Saint-Denis,0931231H,PIERRE DE GEYTER,
Seine-Saint-denis,Saint-Ouen,0932582B,Dora-Maar,
Seine-Saint-denis,Saint-Ouen,0931143M,JEAN JAURÈS,
Seine-Saint-denis,Saint-Ouen,0932261C,JOSÉPHINE BAKER,
Seine-Saint-denis,Saint-Ouen,0931144N,MICHELET,
Seine-Saint-denis,Sevran,0932262D,COLLÈGE DE LA PLÉIADE,
Seine-Saint-denis,Sevran,0931979W,GEORGES BRASSENS,
Seine-Saint-denis,Stains,0931226C,PABLO NERUDA,
Seine-Saint-denis,Tremblay-en-France,0931149U,PIERRE RONSARD,
Seine-Saint-denis,Villepinte,0932263E,CAMILLE CLAUDEL,
Seine-Saint-denis,Villepinte,0931607S,JEAN JAURÈS,
Seine-Saint-denis,Villetaneuse,0932334G,LUCIE AUBRAC,
Val-de-marne, Alfortville,0941022A,LÉON BLUM,
Val-de-marne, Alfortville,0941021Z,PAUL LANGEVIN,
Val-de-marne,Boissy-Saint-Léger,0941478W,BLAISE CENDRARS,
Val-de-marne,Bonneuil-sur-Marne,0941095E,PAUL ELUARD,
Val-de-marne,Champigny-sur-Marne,0940786U,LUCIE AUBRAC,
Val-de-marne,Champigny-sur-Marne,0941299B,PAUL VAILLANT-COUTURIER,
Val-de-marne,Champigny-sur-Marne,0941015T,WILLY RONIS,
Val-de-marne,Chennevières-sur-Marne, 0940787V,NICOLAS BOILEAU,
Val-de-marne,Chevilly-Larue,0940581W,JEAN MOULIN,
Val-de-marne,Choisy-le-Roi,0941040V, EMILE ZOLA,
Val-de-marne,Choisy-le-Roi,0941231C,HENRI MATISSE,
Val-de-marne,Créteil,0940006W,ALBERT SCHWEITZER,
Val-de-marne,Créteil,0940003T,AMÉDÉE LAPLACE,
Val-de-marne,Créteil,0940521F,LOUIS PASTEUR,
Val-de-marne,Fontenay-sous-Bois,0941296Y,JEAN MACÉ,
Val-de-marne,Gentilly,0941099J,ROSA PARKS,
Val-de-marne,Ivry-sur-Seine,0941025D,GEORGES POLITZER,
Val-de-marne,Ivry-sur-Seine,0941781A,HENRI WALLON,
Val-de-marne,Ivry-sur-Seine,0941026E,MOLIÈRE,
Val-de-marne,L'Hay-les-Roses,0940551N,EUGÈNE CHEVREUL,
Val-de-marne,Limeil-Brévannes,0941603G,JANUSZ KORCZAK,
Val-de-marne,Maisons-Alfort,0941024C,JULES FERRY,
Val-de-marne,Orly,0941042X,DORVAL,
Val-de-marne,Valenton,0941052H,FERNANDE FLAGON,
Val-de-marne,Villejuif,0941036R,KARL MARX,
Val-de-marne,Villeneuve-le-Roi,0941602F,GEORGES BRASSENS,
Val-de-marne,Villeneuve-Saint-Georges,0940791Z,PIERRE BROSSOLETTE,
Val-de-marne,Villeneuve-Saint-Georges,0940749D,ROLAND GARROS,
Val-de-marne,Vitry-sur-Seine,0941224V,FRANÇOIS RABELAIS,
Val-de-marne,Vitry-sur-Seine,0940794C,GUSTAVE MONOD,
Val-de-marne,Vitry-sur-Seine,0941033M,JEAN PERRIN,
Val-de-marne,Vitry-sur-Seine,0941034N,JOSEPH LAKANAL,
Val-de-marne,Vitry-sur-Seine,0941029H,JULES VALLÈS,
Essonne,ATHIS-MONS ,0911027X ,MICHEL-RICHARD DELALANDE,
Essonne,CORBEIL-ESSONNES ,0911443Z, LA NACELLE,
Essonne,EPINAY SOUS SENART, 0911397Z, LA VALLEE,
Essonne,ETAMPES  ,0911402E,DE GUINETTE,
Essonne,LES ULIS ,0911334F,AIMÉ CÉSAIRE,
Essonne,MASSY ,0910624J , ALBERT CAMUS,
Essonne,RIS ORANGIS, 0910049J,JEAN LURCAT,
Essonne,RIS ORANGIS, 0911025V ,ALBERT CAMUS,
Essonne,SAVIGNY SUR ORGE, 0910716J, JEAN MERMOZ,
Essonne,STE GENEVIEVE DES BOIS ,0910678T ,JEAN MACE,
Essonne,STE GENEVIEVE DES BOIS ,0911042N, PAUL ELUARD,
Essonne,VIGNEUX SUR SEINE ,09110776Z ,PAUL ELUARD,
Essonne,VIRY CHATILLON ,0910971L, LES SABLONS,
Essonne,Évry,0912173T,GALILÉE,
Essonne,VIRY CHATILLON ,0910056S ,OLIVIER DE SERRES,
Yvelines,Carrières-sous-Poissy,0780032L,FLORA TRISTAN,
Yvelines,Chanteloup-les-Vignes,0781986K, MAGELLAN,
Yvelines,Les Mureaux,0781914G,JEAN VILAR,
Yvelines,Les Mureaux,0780572Y,PAUL VERLAINE,
Yvelines,Limay,0780255D,ALBERT THIERRY,
Yvelines,Mantes-la-Ville,0780116C,LES PLAISANCES,
Yvelines,Plaisir,0780420H,BLAISE PASCAL,
Yvelines,Sartrouville,0783463R,LOUIS PAULHAN,
Yvelines,Sartrouville,0780577D,ROMAIN ROLLAND,
Yvelines,Trappes,0781618K,GUSTAVE COURBET,
Yvelines,Trappes,0780514K,LE VILLAGE,
Val d'Oise,Argenteuil,0951139X,ALBERT CAMUS,
Val d'Oise,Argenteuil,0951230W,EUGÉNIE COTTON,
Val d'Oise,Argenteuil,0950885W,IRÈNE JOLIOT-CURIE,
Val d'Oise,Argenteuil,0951138W,JEAN-JACQUES ROUSSEAU,
Val d'Oise,Argenteuil,0951356H,LUCIE AUBRAC,
Val d'Oise,Argenteuil,0951094Y,PAUL VAILLANT-COUTURIER,
Val d'Oise,Bezons,0950887Y,GABRIEL PÉRI,
Val d'Oise,Bezons,0950888Z,HENRI WALLON,
Val d'Oise,Cergy,0951617S,GÉRARD PHILIPE,
Val d'Oise,Cergy,0951401G,LA JUSTICE,
Val d'Oise,Cergy,0951697D,LE MOULIN À VENT,
Val d'Oise,Garges-lès-Gonesse,0952036X, HENRI MATISSE,
Val d'Oise,Garges-lès-Gonesse,0951098C,PABLO PICASSO,
Val d'Oise,Gonesse,0951920W,FRANÇOIS TRUFFAUT,
Val d'Oise,Gonesse,0951142A,ROBERT DOISNEAU,
Val d'Oise,Goussainville,0952128X,GEORGES CHARPAK,
Val d'Oise,Goussainville,0950026M,MAXIMILIEN DE ROBESPIERRE,
Val d'Oise,Goussainville,0951921X,MONTAIGNE,
Val d'Oise,Montigny-lès-Cormeilles,0951800R,LOUIS ARAGON,
Val d'Oise,Persan,0950934Z,GEORGES BRASSENS,
Val d'Oise,Saint-Ouen-l'Aumône,0950039B,LE PARC,
Val d'Oise,Saint-Ouen-l'Aumône,0951195H,MARCEL PAGNOL,
Val d'Oise, Sarcelles,0950900M,ANATOLE FRANCE,
Val d'Oise,Sarcelles,0950045H,EVARISTE GALOIS,
Val d'Oise,Sarcelles,0951945Y,VICTOR HUGO,
Val d'Oise,Sarcelles,0951196J,VOLTAIRE,
Val d'Oise,Villiers-le-Bel,0950939E,LÉON BLUM,
Seine- et -Marne,Dammarie-les-Lys,0771476L,GEORGES POLITZER,
Seine- et -Marne,Dammarie-les-Lys,0770019C,ROBERT DOISNEAU,
Seine- et -Marne,Le Mée-sur-Seine,0771337K,ELSA TRIOLET,
Seine- et -Marne,Le Mée-sur-Seine,0772056S,JEAN DE LA FONTAINE,
Seine- et -Marne,Meaux,0771420A,BEAUMARCHAIS,
Seine- et -Marne,Melun,0771070V,FRÉDERIC CHOPIN,
Seine- et -Marne,Melun,0771339M,PIERRE BROSSOLETTE,
Seine- et -Marne,Moissy-Cramayel,0771618R,LES MAILLETTES,
Seine- et -Marne,Montereau-Fault-Yonne,0771567K,PAUL ELUARD,
Seine- et -Marne,Nemours,0771621U,HONORÉ DE BALZAC,
Seine- et -Marne,Noisiel,0771841H,LE LUZARD,
Seine- et -Marne, Provins,0771176K,JULES VERNE,
Seine- et -Marne,Provins,0772481D,MARIE CURIE,
JURA,Dole,0390883Y, MARYSE BASTIÉ,
JURA,Saint-Claude,0390924T,PRÉ SAINT-SAUVEUR,
DOUBS,Audincourt,0250003T,JEAN BAUHIN,
DOUBS,Seloncourt,0251397H,LES HAUTES VIGNES,
DOUBS,Sochaux,0250056A,JOUFFROY D'ABBANS,
DOUBS,Valentigney,0251599C,LES BRUYÈRES,
Haute-saône,Gray,0700010F,ROMÉ DE L'ISLE,
Haute-saône,Lure,0700045U,ALBERT JACQUARD,
Haute-saône,Saint-Loup-sur-Semouse,0700788B,ANDRÉ MASSON,
Haute-saône,Vesoul,0700786Z,JACQUES BREL,
Territoires-de-Belfort, Belfort,0900006T,LÉONARD DE VINCI,
Territoires-de-Belfort,Belfort,0900295G,VAUBAN,
Côte d'Or,Dijon,0211357L,JEAN-PHILIPPE RAMEAU,
Côte d'Or,Montbard,0210034Y, LOUIS PASTEUR,
Nièvre,Cosne-Cours-sur-Loire,0580669M,CLAUDE TILLIER,
Nièvre,Corbigny,0580012Y,NOËL BERRIER,
Nièvre,Nevers,0580682B,LES COURLIS,
Nièvre,Nevers,0580542Z,LES LOGES,
Nièvre,Nevers,0580599L,ADAM BILLAUT,
Saône-et-Loire,Autun,0711294W, du Vallon,
Saône-et-Loire,Chalon-sur-Saône, 0710536X,Jacques Prévert,
Saône-et-Loire,Digoin,0711136Z,Roger Semet,
Saône-et-Loire,Mâcon,0710534V,Robert Schuman,
Saône-et-Loire,Montceau-les-Mines,0710056A,Jean Moulin,
Saône-et-Loire,Montcenis,0711323C,Les Épontots,
Yonne,Auxerre,0890056C,Bienvenu-Martin,
Yonne, Joigny, 0890937K, Marie Noël,
Yonne,Migennes,0890017K,Paul Fourrey,
Yonne,Migennes,0890977D,Jacques Prévert,
Yonne,Saint-Florentin,0890024T,Marcel Aymé,
Yonne,Sens,0890790A,Champs Plaisants,
Yonne, Tonnerre,0890980G,Abel Minard,
AIN,Arbent,0010987T,JEAN ROSTAND,
AIN,Saint-Rambert-en-Bugey,0010039M,DE L'ALBARINE,
LOIRE,Le Chambon-Feugerolles,0421919H,MASSENET FOURNEYRON,
LOIRE,Mably,0421852K,LOUIS ARAGON,
LOIRE,Roanne,0421684C,ALBERT THOMAS,
LOIRE,Saint-Chamond,0421486M,PIERRE JOANNON,
LOIRE,Saint-Étienne,0420916T,PUITS DE LA LOIRE,
LOIRE,Saint-Étienne,0421686E,JEAN DASTÉ,
LOIRE,Saint-Étienne,0421452A,GAMBETTA,
LOIRE,Saint-Étienne,0421677V,CLAUDE FAURIEL,
Rhône, Bron,0691479H,JOLIOT CURIE,
Rhône,Bron,0693834T,THÉODORE MONOD,
Rhône,Décines-Charpieu,0692157V,GEORGES BRASSENS,
Rhône,Givors,0691483M,LUCIE AUBRAC,
Rhône,Lyon 7e,0692578C,GABRIEL ROSSET,
Rhône,Lyon 8e,0690060R,JEAN MERMOZ,
Rhône,Lyon 8e,0691669P,VICTOR GRIGNARD,
Rhône,Lyon 9e,0692703N,JEAN DE VERRAZANE,
Rhône,Oullins,0691673U,LA CLAVELIÈRE,
Rhône,Saint-Priest,0691497C,COLETTE,
Rhône,Vénissieux,0691480J,HONORÉ DE BALZAC,
Rhône,Vénissieux,0691799F,LOUIS ARAGON,
Rhône,Villefranche-sur-Saône,0691645N,FAUBERT,
Rhône,Villeurbanne,0691664J,JEAN JAURÈS,
Rhône,Villeurbanne,0690280E,LES IRIS,
Allier,Cusset,0030010V,MAURICE CONSTANTIN WEYER,
Allier,Lurcy-Lévis,0030021G,ANDRÉ BOUTRY,
Allier,Moulins,0030838V,EMILE GUILLAUMIN,
Allier,Vichy,0030050N,JULES FERRY,
Puy-de-Dôme,La Monnerie-le-Montel,0631762Y,DE LA DUROLLE,
Puy-de-Dôme,Thiers,0631238D,ANTOINE AUDEMBRON,
Nord,Aniche,0590002G,THÉODORE MONOD,
Nord,Anzin,0590006L,JULES FERRY,
Nord,Bruay-sur-l'Escaut,0590031N,JEAN MACÉ,
Nord,Cambrai,0593488W,LAMARTINE,
Nord,Caudry,0595277R,JACQUES PRÉVERT,
Nord,Coudekerque-Branche,0594295Y,DU WESTHOEK,
Nord,Dechy,0590058T,PAUL LANGEVIN,
Nord,Denain,0590062X,VILLARS,
Nord,Douai,0594402P,ANDRÉ CANIVEZ,
Nord,Douchy-les-Mines,0593484S,EMILE LITTRÉ,
Nord,Escaudain,0592751V,FÉLICIEN JOLY,
Nord,Escautpont,0594409X, JEAN ZAY,
Nord,Feignies,0594168K,JEAN ZAY,
Nord,Fourmies,0594879H,JOLIOT CURIE,
Nord,Hautmont,0590099M, AUGUSTE PERIER,
Nord,Hem,0594632P,RAYMOND DEVOS,
Nord,Jeumont,0594418G,CHARLES DE GAULLE,
Nord,Lallaing,0593482P,FRÉDERIC JOLIOT CURIE,
Nord,Le Cateau-Cambrésis,0595337F,JEAN ROSTAND,
Nord, Lille,0593179K,CLAUDE LÉVI-STRAUSS,
Nord,Lourches,0594533G,VOLTAIRE,
Nord,Masny,0593483R,ROBERT DESNOS,
Nord,Maubeuge,0590151U,ERNEST COUTELLE,
Nord,Onnaing,0590157A,SAINT-EXUPÉRY,
Nord,Ostricourt,0594290T,HENRI MATISSE,
Nord,Pecquencourt,0596529B,INTERCOMMUNAL MAURICE SCHUMANN,
Nord,Quiévrechain,0594303G,JEHAN FROISSART,
Nord,Ronchin,0594865T,ANATOLE FRANCE,
Nord,Sin-le-Noble,0593185S, ANATOLE FRANCE,
Nord,Somain, 0594405T,VICTOR HUGO,
Nord,Tourcoing,0594394F, MARIE CURIE,
Nord,Vieux-Condé,0594412A, JEAN JAURÈS,
Nord,Villeneuve-d'Ascq,0595328W,SIMONE DE BEAUVOIR,
Nord,Wattignies,0594524X,JEAN MOULIN,
Nord,Wattrelos,0595169Y,EMILE ZOLA,
Nord,Wattrelos,0593242D,GUSTAVE NADAUD,
Nord,Wattrelos,0594392D,PABLO NÉRUDA,
Nord,Hautmont,0592634T,ANTOINE DE SAINT-EXUPÉRY,
Nord,Waziers,0590238N,ROMAIN ROLLAND,
Pas-de-Calais,Aire-sur-la-Lys,0622094P,JEAN JAURÈS,
Pas-de-Calais,Arras,0622789V,CHARLES PÉGUY,
Pas-de-Calais,Auchel, 0623313P,LAVOISIER,
Pas-de-Calais,Auchel,0620021L,SÉVIGNÉ,
Pas-de-Calais,Auchy-les-Mines, 0622946R,JOLIOT CURIE,
Pas-de-Calais,Béthune,0622425Z,PAUL VERLAINE,
Pas-de-Calais,Billy-Montigny,0622793Z,DAVID MARCELLE,
Pas-de-Calais,Boulogne-sur-Mer,0620051U,ANGELLIER,
Pas-de-Calais,Bruay-la-Buissière,0620198D,ALBERT CAMUS,
Pas-de-Calais,Bruay-la-Buissière,0623314R,SIMONE SIGNORET,
Pas-de-Calais,Calonne-Ricouart,0620068M,FRÉDERIC JOLIOT CURIE,
Pas-de-Calais,Divion,0620079Z,HENRI WALLON,
Pas-de-Calais, Étaples,0622572J,JEAN JAURÈS,
Pas-de-Calais,Fouquières-lès-Lens,0622098U,EMILE ZOLA,
Pas-de-Calais,Frévent,0622261W,PIERRE CUALLACCI,
Pas-de-Calais,Harnes,0622791X,VICTOR HUGO,
Pas-de-Calais, Hénin-Beaumont, 0620096T,JEAN MACÉ,
Pas-de-Calais,Libercourt,0622239X,JEAN DE SAINT-AUBERT,
Pas-de-Calais,Liévin,0620119T, PIERRE ET MARIE CURIE,
Pas-de-Calais,Lillers,0622799F,LÉO LAGRANGE,
Pas-de-Calais,Mazingarbe,0622087G,BLAISE PASCAL,
Pas-de-Calais,Méricourt,0622262X,HENRI WALLON,
Pas-de-Calais,Montigny-en-Gohelle,0622423X,YOURI GAGARINE,
Pas-de-Calais,Noeux-les-Mines,0622269E,ANATOLE FRANCE,
Pas-de-Calais,Oignies,0623018U,LOUIS PASTEUR,
Pas-de-Calais,Rouvroy,0620158K,PAUL LANGEVIN,
Pas-de-Calais,Sains-en-Gohelle, 0622578R,JEAN ROSTAND,
Pas-de-Calais,Saint-Martin-Boulogne,0622434J, ROGER SALENGRO,
Pas-de-Calais,Wingles,0620180J,LÉON BLUM,
Pas-de-Calais,Liévin,0620219B,Danielle Darras Riaumont,
Somme,Abbeville,0801512J,De Ponthieu,
Somme, Amiens,0801512J,Edouard Lucas,
Somme,Beaucamps-le-Vieux,0800018K,Maréchal Leclerc de Hauteclocque,
Somme, Domart-en-Ponthieu,0801443J,Du Val de Nièvre,
Somme,Doullens,0801485E,Jean Rostand,
Somme, Ham,0800029X,Victor Hugo,
Somme,Péronne,0800036E,Béranger,
Somme,Roye,0801537L,Louise Michel,
Somme, Rue,0801341Y,du Marquenterre,
Oise,Compiègne,0801489J,Gaëtan Denain,
Oise,Creil,0600018U,Jean-Jacques Rousseau,
Oise, Méru,0601177D,Pierre Mendès France,
Oise,Méru,0601718S,du Thelle,
Oise,Nogent-sur-Oise,0601191U,Edouard Herriot,
Oise,Nogent-sur-Oise,0600036N, Marcelin Berthelot,
Oise,Noyon,0601179F,Louis Pasteur,
Oise,Noyon,0601297J,Paul Eluard,
Oise,Villers-Saint-Paul,0601605U,Emile Lambert,
Aisne,Château-Thierry,0601821D,Jean Rostand,
Aisne,Fère-en-Tardenois,0021826Z,Anne de Montmorency,
Aisne,Guise,0020024R,Camille Desmoulins,
Aisne,Hirson,0020030X,Georges Cobast,
Aisne,La Fère,0020075W,Marie de Luxembourg,
Aisne,Le Nouvion-en-Thiérache,0021518P,Colbert Quentin,
Aisne,Saint-Quentin,0020039G,Jean Moulin,
Aisne, Saint-Quentin,0020076X,Marthe Lefèvre,
Aisne,Vervins,0020056A,Condorcet,
Aisne,Wassigny,0020067M,de Wassigny,
Ile-et-vilaine,DOL DE BRETAGNE,0350708E,PAUL FEVAL,
Ile-et-vilaine,RENNES,0350913C,CLOTILDE VAUTIER,
Ile-et-vilaine,RENNES,0351851X,LA BINQUENAIS,
Ile-et-vilaine,RENNES,0350734H,LES CHALAIS,
Ile-et-vilaine,RENNES,0350895H,ROSA PARKS,
Ile-et-vilaine,TREMBLAY,0350052S,PIERRE PERIN,
Côte-d'armor,COLLINEE,0220008P,VASARELY,
Côte-d'armor,PLEMET,0221037H,LOUIS GUILLOUX,
Morbihan,Josselin,0560020T,MAX JACOB,
Morbihan,LORIENT,0560071Y,LE COUTALLER,
FINISTERE,brest,0291089B,KERANROUX,
FINISTERE,brest,0290149E,KERHALLET,
FINISTERE,brest,0290100B,PEN AR CH'LEUZ,
FINISTERE,Quimper,0291087Z,MAX JACOB,
Sarthe,Allonnes,0720001K, John Kennedy,
Sarthe,Allonnes,0721224P, Le Marin,
Sarthe,Le Mans,0720902P,Maroc,
Sarthe,Sablé-sur-Sarthe,0720989J,Anjou,
Maine-et-loire, Angers,0490783K,Jean Mermoz,
Maine-et-loire,Angers,0491028B, Montaigne,
Maine-et-loire,Cholet,0491675E,Joachim du Bellay,
Maine-et-loire,Saumur,0490042E,Pierre Mendès France,
Maine-et-loire,Trélazé,0490048L,Jean Rostand,
Vendée,Fontenay-le-Comte,0850067L,André Tiraqueau,
Vendée,La Châtaigneraie,0851163C,Pierre Mendès France,
Vendée,L'Île-d'Elle,0850014D,Golfe des Pictons,
Vendée, L'Île-d'Yeu,0850015E,les Sicardières,
Loire-Atlantique,Châteaubriant,0440348P,La ville aux Roses,
