Départements ,COMMUNE,Code UAI ,Collèges ,Label
Loire-Atlantique,Donges,0441727N,Arthur Rimbaud,
Loire-Atlantique,Guémené-Penfao,0440013A,Bellevue,
Loire-Atlantique,Nantes, 0441608J,La Durantière,
Loire-Atlantique,Saint-Herblain,0440311Z,Ernest Renan,
Loire-Atlantique,Trignac,0441616T,Julien Lambot,
Lot-et-Garonne,Agen,04770677F,Ducos du Hauron,
Lot-et-Garonne, Fumel,0470046V,Jean Monnet,
Lot-et-Garonne,Sainte-Livrade-sur-Lot,0470102F,Paul Froment,
Lot-et-Garonne,Tonneins,0470104H,Germillac,
Lot-et-Garonne,Villeneuve-sur-Lot,0470049Y,Anatole France,
Pyrénées-Atlantique,Bayonne,0640609P,Albert Camus,
Pyrénées-Atlantique,Mourenx,0641561Z,Pierre Bourdieu,
Pyrénées-Atlantique,Pau,0640227Z,Jeanne d'Albret,
calvados,Caen,0141268C,Guillaume de Normandie,
calvados,Hérouville-Saint-Clair,0141363F,Nelson Mandela,
calvados,Hérouville-Saint-Clair,0141136J,Pierre Varignon,
calvados, Isigny-sur-Mer,0141257R,du Val d'Aure,
calvados,Lisieux,0141315D,"Pierre Simon de Laplace
",
orne,Flers,06100057F,Jean Monnet,
orne,Vimoutiers,0610045T,Arlette Hee-Fergant,
Manche,Sainte-Mère-Église,0500068C,Saint-Exupéry,
Manche, Saint-Vaast-la-Hougue,0501300S,Guillaume Fouace,
Manche,periers,0500053L,LE FAIRAGE,
Manche,Villedieu-les-Poêles,0500083U,le Dinandier,
Eure,Les Andelys,0271320N,Rosa Parks,
Eure, Évreux,0271095U, Georges Politzer,
Eure,Évreux,0271104D,Henri Dunant,
Eure,Louviers,0271398Y,les Fougères,
Eure,Vernon,0271289E,Cervantès,
Seine-maritime,Bolbec,0761701L,RONCHEROLLES,
Seine-maritime,Canteleu,0760017F,LE CEDRE,
Seine-maritime,Canteleu,0762089H,CHARLES GOUNOD,
Seine-maritime,Caudebec-lès-Elbeuf,0762919K,JACQUES-YVES COUSTEAU,
Seine-maritime,Cléon,0762679Z,JACQUES BREL,
Seine-maritime,Dieppe,0760026R,CLAUDE DELVINCOURT,
Seine-maritime,Fécamp,0761704P,JULES FERRY,
Seine-maritime,Fécamp,0762287Y,GEORGES CUVIER,
Seine-maritime,Gonfreville-l'Orcher,0761954L,GUSTAVE COURBET,
Seine-maritime,Grand-Couronne,0762080Y,HENRI MATISSE,
Seine-maritime,Le Havre,0761696F,RomaIN ROLLAND,
Seine-maritime, Le Havre,0761697G,CLAUDE BERNARD,
Seine-maritime,Le Havre,0761698H,GÉRARD PHILIPE,
Seine-maritime,Le Havre,0761781Y,JEAN MOULIN,
Seine-maritime,Le Havre,0762128A,LÉO LAGRANGE,
Seine-maritime,Le Havre,0762226G,THÉOPHILE GAUTIER,
Seine-maritime,Le Petit-Quevilly,0761737A,DENIS DIDEROT,
Seine-maritime,Le Petit-Quevilly,0761949F,FERNAND LÉGER,
Seine-maritime,Maromme,0760075U,ALAIN,
Seine-maritime,Oissel,0760083C,JEAN CHARCOT,
Seine-maritime,Rouen,0761745J,CAMILLE CLAUDEL,
Seine-maritime,Saint-Étienne-du-Rouvray,0761777U,LOUISE MICHEL,
Seine-maritime,Saint-Étienne-du-Rouvray,0762133F,PABLO PICASSO,
Seine-maritime,Saint-Étienne-du-Rouvray,0761647C,PAUL ELUARD,
Bouches-du-Rhône,Aix-en-Provence,0310007M,JAS DE BOUFFAN,
Bouches-du-Rhône,Arles,0131610E,VINCENT VAN GOGH,
Bouches-du-Rhône, Aubagne,0132412B,LOU GARLABAN,
Bouches-du-Rhône,Berre-l'Étang,0131705H, FERNAND LÉGER,
Bouches-du-Rhône,Gardanne,0131701D,GABRIEL PÉRI,
Bouches-du-Rhône,Istres,0132409Y,ALPHONSE DAUDET,
Bouches-du-Rhône,Marseille 6e,0132561N,ANATOLE FRANCE,
Bouches-du-Rhône, Marseille 10e, 0134022B,LOUISE MICHEL,
Bouches-du-Rhône, Marseille 10e,0132204A,PONT DE VIVAUX,
Bouches-du-Rhône,Marseille 11e,0132403S,FRANÇOIS VILLON,
Bouches-du-Rhône,Marseille 13e,0132314V,JEAN GIONO,
Bouches-du-Rhône,Marseille 16e,0131757P,L'ESTAQUE,
Bouches-du-Rhône,Martigues,0132208E,MARCEL PAGNOL,
Bouches-du-Rhône,Orgon,0132217P,MONT-SAUVY,
Bouches-du-Rhône,Port-de-Bouc,0132322D, PAUL ELUARD,
Bouches-du-Rhône,Port-Saint-Louis-du-Rhône,0132323E,MAXIMILIEN ROBESPIERRE,
Bouches-du-Rhône,Saint-Victoret,0132007L,JACQUES PRÉVERT,
Bouches-du-Rhône,Salon-de-Provence,0131265E,JEAN MOULIN,
Bouches-du-Rhône,Tarascon,0131611F,RENÉ CASSIN,
Bouches-du-Rhône,Vitrolles,0133352Y,CAMILLE CLAUDEL,
Alpes-maritime,CANNES,0060799L,LES MURIERS,
Alpes-maritime,CANNES,0061279H,LES VALLERGUES,
Alpes-maritime,CARROS,0061130W,PAUL LANGEVIN,
Alpes-maritime,NICE,0060838D,VICTOR DURUY,
Alpes-maritime,"VALLAURIS
",0061211J,PABLO PICASSO,
Var,FREJUS,0830834F,ANDRE LEOTARD,
Var,TOULON,0830069Z,PIERRE PUGET,
Var,TOULON,0830953K,PEIRESC,
Alpes-de-Haute-Provence,Manosque,0040055N,Jean Giono,
Hautes-Alpes,Laragne-Montéglin,0050452P,Les Hauts-de-Plaine,
Vaucluse,Avignon,0840758T,Frédéric Mistral,
Vaucluse,Bollène,0840699D,Paul Eluard,
Vaucluse,Carpentras, 0840114T,François Raspail,
Vaucluse,Le Pontet,0840664R,Jules Verne,
Vaucluse,Orange,0840762X,Barbara Hendricks,
Vaucluse,Sorgues,0840033E,Voltaire,
Vaucluse,Valréas,0840716X,Vallis Aeria,
Aveyron,Cransac,0120004P,Jean Jaurès,
Aveyron,Decazeville,0120622L,Paul Ramadier,
Gard,Alès,0301014P,Diderot,
Gard,Beaucaire,0301282F, Elsa Triolet,
Gard,La Grand-Combe,0301012M,Léo Larguier,
Gard,Nîmes,0300062E,Capouchine,
Gard,Nîmes,0301098F,les Oliviers,
Gard,SAINT-Gilles,0300037C,JEAN VILAR,
Haute-Garonne,Toulouse,0311232W,Claude Nougaro,
Haute-Garonne,Toulouse,0311231V,Maurice Becanne,
Haute-Garonne,Toulouse,0311718Z,Nicolas-Louis Vauquelin,
Haute-Garonne,Toulouse,0311112R,Toulouse Lautrec,
Herault,Béziers,0340118U,Henri IV,
Herault,Béziers,0341066Z,Jean Perrin,
Herault,Lunel,0340031Z,Fréderic Mistral,
Herault,Montpellier,0341364Y, Gérard Philipe,
Herault,Montpellier,0341592W, Marcel Pagnol,
Tarn et Garonne, Moissac,0820017Y,François Mitterrand,
Tarn et Garonne,Montauban,0820588U,Olympe de Gouges,
Tarn ,Carmaux,0810787R,Victor Hugo,
Tarn ,Graulhet,0810125W,Louis Pasteur,
Tarn ,Mazamet,0810126X,Jean-Louis Etienne,
Tarn ,Mazamet,0810127Y,Marcel Pagnol,
Pyrennees orientales,Perpignan,0660051X,Albert Camus,
Pyrennees orientales,Perpignan,0660049V,Jean Moulin,
Pyrennees orientales,Perpignan,0660016J,la Garrigole,
Hautes-Pyrénées, Tarbes,0650034J,Paul Eluard,
Ariège,Lavelanet,0090490J,Louis Pasteur,
Ariège,Lavelanet,0090007J,Victor Hugo,
Aude,Carcassonne,0110672W,Jules Verne,
Aude,Narbonne,0110068P,Georges Brassens,
LOIRET,Châlette-sur-Loing,0450840U,Paul Eluard,
LOIRET,Gien,0451450G,Jean Mermoz,
LOIRET,Montargis, 0450789N,Le Grand Clos,
LOIRET,Orléans,0450939B, Alain-Fournier,
LOIRET,Orléans,0451070U,Montesquieu,
LOIRET,Saint-Jean-de-la-Ruelle,0450069F,Max Jacob,
Loir-et-Cher,Romorantin-Lanthenay,0410793P,Léonard de Vinci,
Indre-et-Loire,Joué-lès-Tours, 0370791J,Arche-du-Lude,
Indre-et-Loire,Saint-Pierre-des-Corps,0371391L,Stalingrad,
Indre,Issoudun,0360544W,Denis Diderot,
Eure-et-Loire,Châteaudun,0280918W,Anatole France,
Eure-et-Loire,Châteaudun,0280656L,Tomas Divi,
Eure-et-Loire,Dreux,0281060A,Martial Taugourdeau,
Eure-et-Loire, Lucé,0280657M,les Petits Sentiers,
Eure-et-Loire,Mainvilliers,0280034K,Jean Macé,
Eure-et-Loire,Nogent-le-Rotrou,0280924C,Pierre Brossolette,
Eure-et-Loire,Vernouillet,0280024Z,Marcel Pagnol,
Cher,Bourges,0180593X, Victor Hugo,
Cher,Sancoins,0180033N,Marguerite Audoux,
Cher,Vierzon,0180037T,Edouard Vaillant,
Charente,Cognac,0160864C,Claude Boucher,
Charente,Roumazières-Loubert,0160793A,Jean Michaud,
Charente-maritime, La Rochelle,0171117X,Fabre d'Eglantine,
Vienne,Buxerolles,0860799B,Jules Verne,
Vienne,Châtellerault,0860702W,Jean Macé,
Vienne,Poitiers,0860723U,Pierre-Ronsard,
Haute-vienne,Limoges,0870072F,André Maurois,
Haute-vienne,Limoges,0870117E,Albert Calmette,
Haute-vienne, Limoges,0870791M,Anatole France,
Haute-vienne, Limoges,0870960W,Firmin Roz,
Gironde,Bègles,0331880P,PABLO NERUDA,
Gironde,Bordeaux,0332082J,ÉDOUARD VAILLANT,
Gironde,Bordeaux,0331462K,FRANCISCO GOYA,
Gironde,Bordeaux,0330140Y,GRAND PARC,
Gironde,Bordeaux,0332285E,JACQUES ELLUL,
Gironde,Bordeaux,0331618E,LÉONARD LENOIR,
Gironde,Castillon-la-Bataille,0330064R,ALIÉNOR D'AQUITAINE,
Gironde,Cenon,0331885V,JEAN JAURÈS,
Gironde,Cenon,0331464M,JEAN ZAY,
Gironde,Coutras,0331621H,HENRI DE NAVARRE,
Gironde,Floirac,0332189A,NELSON MANDELA,
Gironde, Lesparre-Médoc,0331891B,LES LESQUES,
Gironde,Pauillac,0330103H,PIERRE DE BELLEYME,
Gironde,Sainte-Foy-la-Grande,0330163Y,ÉLIE FAURE,
Gironde,Saint-Yzan-de-Soudiac,0331888Y,DU VAL DE SAYE,
Dordogne,Piégut-Pluviers,0240043S, Les Marches de l'Occitanie,
Dordogne,Saint-Aulaye,0240055E,Dronne-Double,
Dordogne,Vélines,0240106K,Olympe de Gouges,
Dordogne,Vergt,0240056F,Les trois Vallées,
Dordogne,Terrasson lavilledieu,0240037K,JULES FERRY,
Landes,Gabarret, 0400010U,Jules Ferry,
Landes,Labouheyre,0400014Y,Félix Arnaudin,
Landes,Mont-de-Marsan,0400648M,Victor Duruy,
Ardennes,Bogny-sur-Meuse,0080105W,Jules Ferry,
Ardennes,Charleville-Mézières,0080079T,Fred Scamaroni,
Ardennes,Charleville-Mézières,0080068F,Rouget-de-Lisle,
Ardennes,Fumay,0080017A, les Aurains,
Ardennes,Nouzonville,0080036W,J Rogissart,
Ardennes, Revin,0080949N,George Sand,
Ardennes,Vrigne-aux-Bois,0080839U,Pasteur,
Aube,Romilly-sur-Seine,0100905E,le Noyer Marchand,
Aube,Romilly-sur-Seine,0100787B, Paul Langevin,
Aube, Troyes,0100038M,Jacobins,
Aube, Troyes,0100081J,Marie Curie,
Aube, Troyes, 0100947A,Pierre et François Pithou,
Bas-Rhin,Strasbourg,0671691Z,STOCKFELD,
Bas-Rhin,Strasbourg,0671590P,SOPHIE GERMAIN,
Bas-Rhin,Strasbourg,0671508A,JACQUES TWINGER,
Bas-Rhin,SCHILTIGHEIM,0670066H,ROUGET DE LISLE,
Bas-Rhin,SCHILTIGHEIM,0670065G,LECLERC,
Bas-Rhin,BISCHWILLER,0672130B,ANDRE MAUROIS,
Bas-Rhin,BISCHHEIM,0671822S,LAMARTINE,
Haut-Rhin,MULHOUSE,0681961M,BEL AIR ,
Haut-Rhin,COLMAR,0680009R,PFEFFEL,
Haute-Marne,Chaumont,0520737U,la Rochotte,
Haute-Marne, Joinville,0520822L,Cressot,
Haute-Marne,Saint-dizier,0520050X,Luis Ortiz,
Marne,Reims,0511470W,Maryse Bastié,
Marne,Reims,0511254L,François Legros,
Marne,Reims,0511214T,trois Fontaines,
Marne, Sermaize-les-Bains,0510052E,Louis Pasteur,
Marne,Vitry-le-François,0511256N,les Indes,
Meurthe-et-Moselle,Jarville-la-Malgrange,0541817G,Albert Camus,
Meurthe-et-Moselle, Joeuf,0541471F,Maurice Barrès,
Meurthe-et-Moselle, Longlaville,0541578X,des trois Frontières,
Meurthe-et-Moselle,Mont-Saint-Martin, 0540088C,Anatole France,
Meurthe-et-Moselle,Toul,0541565H,Croix de Metz,
Meurthe-et-Moselle,Vandoeuvre-lès-Nancy,0541515D,Haut de Penoy,
Meuse,Stenay,0550020Y,Alfred Kastler,
Meuse,Verdun,0550758A,Maurice Barrès,
Moselle,Creutzwald,0572690P,Jacques-Yves Cousteau,
Moselle, Fameck,0573269U,Charles de Gaulle,
Moselle, Farébersviller,0572023P,Georges Holderith,
Moselle, L'Hôpital,0572487U,François Rabelais,
Moselle,Metz,0572168X,François Rabelais,
Moselle,Moyeuvre-Grande,0572017H,Jean Burger,
Moselle,Petite-Rosselle,0572493A,Louis Armand,
Moselle,Puttelange-aux-Lacs,0572183N,Jean Baptiste Eble,
Moselle,Sarreguemines,0572587C,Jean Jaurès,
Moselle, Stiring-Wendel,0570104D,Nicolas Untersteller,
Moselle,Uckange,0570318L,Jean Moulin,
Moselle, Freyming-Merlebach,0570326V,Claudie Haingneré,
Vosges,Charmes,0881145S, Maurice Barrès,
Vosges, Rambervillers, 0880045W, Alphonse Cytère,
Vosges, Saint-Dié-des-Vosges,0881099S,Joseph Julien Souhait,
Vosges,Saint-Dié-des-Vosges,0880151L,Vautrin Lud,
Vosges,Senones,0881101U,André Malraux,
Martinique,Fort-de-France,9720682J,Cassien Sainte Claire (La Meynard),
Martinique, Fort-de-France,9720412R,Fernand Donatien (Dillon 1),
Martinique,Gros-Morne,9720012F,Euzhan Palcy,
Martinique,La Trinité,9720351Z,Beauséjour (F Fanon),
Martinique,Le Lamentin,9720083H,Petit Manoir,
Martinique, Le Lamentin,9720848P,Place d'Armes 2,
Martinique,Le Marigot,9720028Y,Eugène Mona,
Martinique,Le Marin,9720447D,Gérard Café,
Martinique,Le Morne-Rouge,9720016K,Christiane Eda-Pierre,
Martinique, Le Robert,9720019N,Paul Symphor,
Martinique,Sainte-Marie,9720842H,de Morne des Esses,
Martinique,Saint-Joseph,9720021R,Belle étoile,
Guyane,Cayenne,9730130D,Eugène Nonnon,
Guyane, Cayenne,9730083C,Gérard Holder,
Guyane,Iracoubo,9730219A,Ferdinand Madeleine,
Guyane,Kourou,9730125Y,Henri Agarande (Kourou I),
Guyane,Kourou,9730306V,Omeba Tobo (Kourou III),
Guyane,Kourou,9730237V,Victor Schoelcher (Kourou II),
Guyane,Macouria,9730206L,Just Hyasine,
Guyane,Matoury,9730182K,La Canopée (Matoury I),
Guyane,Remire-Montjoly,9730370P,Réeberg Néron,
La réunion,CILAOS,9740096L,ALSACE CORRE,
La réunion,LA PLAINE-DES-PALMISTES,9740037X,GASTON CROCHET,
La réunion,LE PORT,9740548C,EDMOND ALBIUS,
La réunion,LE TAMPON,9740620F,MICHEL DEBRE,
La réunion,LES TROIS-BASSINS,9740085Z,TROIS BASSINS,
La réunion,SAINT-ANDRE,9740599H,JOSEPH BEDIER,
La réunion,SAINT-ANDRE,9741261C,TERRAIN FAYARD,
La réunion,SAINT-ANDRE,9741386N,CHEMIN MORIN,
La réunion,SAINT-BENOIT,9740065C,DU BASSIN BLEU,
La réunion,SAINT-DENIS,9740595D,JULES REYDELLET,
La réunion,SAINT-DENIS,9740618D,LES ALIZES,
La réunion,SAINTE-MARIE,9740022F,ADRIEN CERNEAU,
La réunion,SAINTE-ROSE,9740044E,THERESIEN CADET,
La réunion,SAINTE-SUZANNE,9740094J,HIPPOLYTE FOUCQUE,
La réunion,SAINT-JOSEPH,9740577J,JOSEPH HUBERT,
La réunion,SAINT-JOSEPH,9741047V,LA MARINE,
La réunion,SAINT-LEU,9740018B,CHALOUPE ST-LEU,
La réunion,SAINT-LOUIS,9740091F,LECONTE DE LISLE,
La réunion,SAINT-PAUL,9740069G,L'ETANG SAINT-PAUL,
La réunion,SAINT-PAUL,9740596E,ANTOINE SOUBOU,
La réunion,SAINT-PAUL,9741190A,DE PLATEAU CAILLOU,
La réunion,SAINT-PIERRE,9740027L,RAVINE DES CABRIS,
La réunion,SAINT-PIERRE,9741346V,LIGNE DES BAMBOUS,
La réunion,SALAZIE,9740651P,AUGUSTE LACAUSSADE,
Mayotte,BANDRABOUA,9760094Y,DE DZOUMOGNE,
Mayotte,BOUENI,9760042S,DE TSIMKOURA,
Mayotte,DZAOUDZI,9760008E,DE BOUENI M TITI,
Mayotte,KANI-KELI,9760166B,DE KANI-KELI,
Mayotte,KOUNGOU,9760244L,DE KOUNGOU,
Mayotte,MAMOUDZOU,9760314M,DE KAWENI 2,
Mayotte,MAMOUDZOU,9760219J,DE M'GOMBANI,
Mayotte,MAMOUDZOU,9760368W,DE KWALE,
Mayotte,MAMOUDZOU,9760308F,DE PASSAMAINTY,
Mayotte,M'TSANGAMOUJI,9760167C,DE M'TSANGAMOUJI,
Mayotte,PAMANDZI,9760183V,DE ZENA M'DERE,
Mayotte,SADA,9760180S,DE SADA,
Guadeloupe,LES ABYMES,9710938T,Aurélie Lambourde,
Guadeloupe,LES ABYMES,9710710V,ALEXANDRE ISAAC,
Guadeloupe,STE ROSE,9711181G,BOIS RADA,
Guadeloupe,POINTE NOIRE,9710029E,COURBARIL,
Guadeloupe,ANSE BERTRAND,9710025A,FERNAND BALIN,
Guadeloupe,BOUILLANTE,9710026B,FONTAINES BOUILLANTES,
Guadeloupe,POINTE A PITRE,9710686U,FRONT DE MER,
Guadeloupe,CAPESTERRE BELLE EAU,9710406P,GERMAIN SAINT RUF,
Guadeloupe,LA DESIRADE,9710033J,MARYSE CONDE,
Guadeloupe,ST MARTIN,9710022X,MONT DES ACCORDS,
Guadeloupe,CAPESTERRE MARIE GALANTE,9710032H,NELSON MANDELA,
Guadeloupe,POINTE A PITRE,9710073C,SADI CARNOT,
Aisne ,Saint-Quentin,0020055Z,Gabriel Hanoteaux,
Somme,Alfred Manessier,0801487G,Flixecourt,
Nièvre,Château-chinon ( ville),0580005R,Bibracte,
Saône-et-Loire,Chalon-sur-Saône,0711348X,Jacques Prévert,
Ardèche,Annonay,0071156U,Abdel Minard,
Ardèche,Bourg-Saint-Andéol,0070006U,Les Perrieres,
Haute-Savoie,Annemasse,0741165P,Michel Servet,
Haute-Savoie,Cluses,0740911N,Genviève Anthonioz de Gaulle,
Haute-Savoie,Gaillard,0741097R,Prévert,
Haute-Savoie,Scionzier,0741139L,GALLAY,
Drôme,Valence,0260978X,Marcel pagnol,
Drôme,Valence,0260117L,Paul valéry,
Drôme,Valence,0260049L,Jean Zay,
Drôme,Saint-Rambert-d'Albon,0260029R,Fernand Berthon,
Drôme,Romans-sur-Isère,0261091V,Albert Triboulet,
Drôme,Romans-sur-Isère,0260850H,Etienne Jean Lapassat,
Drôme,Montélimar,0261086P,Europa,
Isère ,Bourgoin-Jallieu,0382174G,Salvador Allende,
Isère ,Echirolles,0382044R,Pablo Picasso,
Isère ,Fontaine,0381810L,Gérard PHILIPE,
Isère ,Grenoble,0381604m,Vercors,
Isère ,Grenoble,0381780d,Olympique,
Isère ,le Pont-de-Claix,0380013H,Nelson Mandela,
Isère ,Pont-de-Cheruy,0382110M,Le Grand Champ,
Isère ,Roussillon,0380050Y,De l'Edit,
Isère ,ST Martin d'Heres,0380065P,Henri Wallon,
Isère ,Vienne,0381907S,François Ponsard,
Isère ,Villefontaine,0382104f,Louis Argon,
Savoie ,Albertville,0730904L,Combe de Savoie ,
Nord,Auby,0594297A,Victor Hugo,
Nord,Lille,0590131X,jean jaurès,
Nord,Lille,0593177H,Jean Zay,
Nord,Fourmies,0593252P,Leo Lagrange,
Nord,Dunkerque,0590200X,Robespierre,
Nord,Dunkerque,0593663L,Jean Deconick,
Creuse,Bourganeuf,0230507B,Jean Picart Le Doux,
Rhône ,Lyon 8e,0694295U,Alice Guy,
Martinique,le Robert,9720861D,Pontaléry,
Mayotte,Chirongui,9760042S,De Tsimkoura,
Côte-d'Armor,Saint-Brieuc,0220054P,Jean Racine,
Hauts-de-Seine,Asnières-sur-seine,0921545E,André malraux,
Hauts-de-Seine,Bagneux,0921168V,Romain ROLLAND,
Hauts-de-Seine,Bagneux,0921631Y,Henri BARBUSSE,
Hauts-de-Seine,Bagneux,0921778H,JOLIOT CURIE,
Hauts-de-Seine,Châtenay-Malabry,0921179G,LEONARD DE VINCI,
Hauts-de-Seine,Châtenay-Malabry,0921180H,MASARYK,
Hauts-de-Seine,Clamart,0920854D,DES PETITS PONTS,
Hauts-de-Seine,Clichy,0921623P,JEAN Jaurès,
Hauts-de-Seine,Colombes,0920592U,MOULIN JOLY,
Hauts-de-Seine,Colombes,0921160L,JEAN-BaptistE CLEMENT,
Hauts-de-Seine,Colombes,0921675W,marguerite duras,
Hauts-de-Seine,Gennevilliers,0921157H,Edouard vaillant,
Hauts-de-Seine,Nanterre,0920594W,République,
Hauts-de-Seine,Nanterre,0920882J,Victor Hugo,
Hauts-de-Seine,Nanterre,0921394R,André Doucet,
Hauts-de-Seine,Nanterre,0921940J,Paul ELUARD,
Hauts-de-Seine,Villeneuve-la-Garenne,0921159K,Edouard manet,
Hauts-de-Seine,Villeneuve-la-Garenne,0921543C,Georges Pompidou,
Val-d'Oise,Pontoise,0950895G,Parc aux charrettes,
Corse-du-Sud,Ajaccio,6200006M,Arthur Giovoni,
Corse-du-Sud,Ajaccio,6200011T,Leatitia Bonaparte,
Corse-du-Sud,Ajaccio,6200084X,Les Padule,
Corse-du-Sud,Porto-Vecchio,6200040Z,Leon Boujot,
Corse-du-Sud,Porto-Vecchio,6200697N,Porto-vecchio 2,
Corse-du-Sud,Propriano,6200041A,Jean Propriano,
Haute-Corse,Bastia,7200013B,Montesoro,
Haute-Corse,Luri,7200027S,Collège du Cap,
Haute-Corse,Penta-di-Casinca,7200160L,La Casinca Henri Tomasi,
Haute-Corse,Prunelli-di-Fiumorbo,7200086F,Di Fiumorbu,
