CODE_DEPT,INSCRITS,NON_INSCRITS,TOTAL,RATIO
35, 6, 2, 8, 0.75
65, 5, 1, 6, 0.8333333333333334
21, 5, 6, 11, 0.45454545454545453
94, 25, 13, 38, 0.6578947368421053
62, 35, 7, 42, 0.8333333333333334
38, 14, 0, 14, 1.0
49, 7, 1, 8, 0.875
57, 24, 0, 24, 1.0
87, 5, 2, 7, 0.7142857142857143
78, 26, 13, 39, 0.6666666666666666
37, 8, 2, 10, 0.8
34, 14, 6, 20, 0.7
80, 13, 2, 15, 0.8666666666666667
97, 41, 92, 133, 0.3082706766917293
84, 11, 2, 13, 0.8461538461538461
95, 31, 6, 37, 0.8378378378378378
39, 3, 0, 3, 1.0
59, 68, 9, 77, 0.8831168831168831
75, 23, 7, 30, 0.7666666666666667
30, 12, 1, 13, 0.9230769230769231
67, 14, 1, 15, 0.9333333333333333
45, 11, 0, 11, 1.0
27, 13, 0, 13, 1.0
17, 6, 0, 6, 1.0
36, 1, 1, 2, 0.5
69, 34, 2, 36, 0.9444444444444444
93, 61, 22, 83, 0.7349397590361446
31, 11, 1, 12, 0.9166666666666666
79, 2, 3, 5, 0.4
50, 4, 1, 5, 0.8
20, 2, 9, 11, 0.18181818181818182
89, 0, 7, 7, 0.0
76, 23, 13, 36, 0.6388888888888888
02, 8, 7, 15, 0.5333333333333333
16, 4, 1, 5, 0.8
60, 5, 9, 14, 0.35714285714285715
41, 3, 0, 3, 1.0
72, 7, 0, 7, 1.0
85, 0, 4, 4, 0.0
22, 2, 1, 3, 0.6666666666666666
44, 6, 5, 11, 0.5454545454545454
64, 3, 1, 4, 0.75
47, 1, 4, 5, 0.2
14, 4, 3, 7, 0.5714285714285714
13, 29, 18, 47, 0.6170212765957447
81, 3, 2, 5, 0.6
28, 5, 4, 9, 0.5555555555555556
33, 12, 9, 21, 0.5714285714285714
24, 1, 4, 5, 0.2
40, 3, 1, 4, 0.75
08, 10, 1, 11, 0.9090909090909091
54, 5, 3, 8, 0.625
10, 3, 4, 7, 0.42857142857142855
52, 4, 0, 4, 1.0
51, 3, 6, 9, 0.3333333333333333
88, 1, 5, 6, 0.16666666666666666
71, 0, 7, 7, 0.0
58, 0, 6, 6, 0.0
26, 5, 3, 8, 0.625
68, 8, 1, 9, 0.8888888888888888
70, 5, 0, 5, 1.0
92, 18, 2, 20, 0.9
90, 4, 0, 4, 1.0
03, 3, 3, 6, 0.5
86, 3, 1, 4, 0.75
73, 2, 0, 2, 1.0
18, 3, 1, 4, 0.75
63, 4, 1, 5, 0.8
01, 4, 0, 4, 1.0
66, 4, 2, 6, 0.6666666666666666
53, 1, 0, 1, 1.0
91, 17, 5, 22, 0.7727272727272727
55, 0, 3, 3, 0.0
83, 5, 1, 6, 0.8333333333333334
77, 16, 2, 18, 0.8888888888888888
25, 5, 3, 8, 0.625
42, 8, 4, 12, 0.6666666666666666
29, 1, 3, 4, 0.25
61, 3, 1, 4, 0.75
56, 0, 2, 2, 0.0
06, 8, 1, 9, 0.8888888888888888
07, 1, 1, 2, 0.5
04, 0, 1, 1, 0.0
12, 0, 2, 2, 0.0
82, 0, 2, 2, 0.0
09, 0, 2, 2, 0.0
11, 0, 2, 2, 0.0
74, 3, 1, 4, 0.75
23, 0, 1, 1, 0.0
05, 0, 1, 1, 0.0
19, 1, 0, 1, 1.0
32, 1, 0, 1, 1.0